id,service_id/id,customerwastegroup_id/id,name,effective_from,effective_to,status,created_at,code
serviceprice_1,service_1,customerwastegroup_1,Bảng giá Hộ gia đình,2025-08-01,2025-12-31,active,2025-08-01,BGHGD
serviceprice_2,service_2,customerwastegroup_2,Bảng giá Nhóm 1,2025-08-01,2025-12-31,active,2025-08-01,BGN1
serviceprice_3,service_3,customerwastegroup_3,Bảng giá Nhóm 2,2025-08-01,2025-12-31,active,2025-08-01,BGN2
serviceprice_4,service_4,customerwastegroup_4,Bảng giá Nhóm 3,2025-08-01,2025-12-31,active,2025-08-01,BGN3
serviceprice_5,service_5,customerwastegroup_5,Bảng giá Nhóm 4,2025-08-01,2025-12-31,active,2025-08-01,BGN4
