id,name,code,groupservice_id/id,scope,description,status
service_1,Dịch vụ thu gom rác sinh hoạt,TGVCHGD,servicegroup_1,,Dịch vụ thu gom rác thải sinh hoạt hộ gia đình,active
service_2,Dịch vụ thu gom rác tái chế,TGVCN1,servicegroup_2,,Dịch vụ thu gom rác thải nhóm 1,active
service_3,Dịch vụ thu gom rác thực phẩm,TGVCN2,servicegroup_3,,Dịch vụ thu gom chất thải thực phẩm,active
service_4,Dịch vụ thu gom rác sinh hoạt khác,TGVCN3,servicegroup_4,,Dịch vụ thu gom rác sinh hoạt khác,active
service_5,Dịch vụ thu gom rác nguy hại,TGVCN4,servicegroup_5,,Dịch vụ thu gom chất thải nguy hại,active
