id,name,code,description,status
servicegroup_1,Chất thải rắn sinh hoạt,CTRSH,"Nhóm dịch vụ thu gom chất thải rắn sinh hoạt",active
servicegroup_2,"Chất thải rắn có khả năng tái sử dụng, tái chế",CTRTC,"Nhóm dịch vụ thu gom chất thải rắn tái chế",active
servicegroup_3,Chất thải thực phẩm,CTTP,"Nhóm dịch vụ thu gom chất thải thực phẩm",active
servicegroup_4,Chất thải rắn sinh hoạt khác,CTRSHK,"Nhóm dịch vụ thu gom chất thải rắn sinh hoạt khác",active
servicegroup_5,Chất thải nguy hại,CTNH,"Nhóm dịch vụ thu gom chất thải nguy hại",active
