id,name,code,customer_type,waste_volume_min,waste_volume_max,pricing_method,description,status
customerwastegroup_1,Nhóm chủ nguồn thải Hộ gia đình,CNTHGD,HGD,0,125,fixed_monthly,,active
customerwastegroup_2,Nhóm chủ nguồn thải Nhóm 1,CNTN1,N1,126,250,fixed_monthly,,active
customerwastegroup_3,Nhóm chủ nguồn thải Nhóm 2,CNTN2,N2,251,350,fixed_monthly,,active
customerwastegroup_4,Nhóm chủ nguồn thải Nhóm 3,CNTN3,N3,351,500,fixed_monthly,,active
customerwastegroup_5,Nhóm chủ nguồn thải Nhóm 4,CNTN4,N4,501,,per_kg,,active
